Player,Team,Age,GP,W,L,Min,Ptts Off TO,2nd Pts,FBPS,PITP,OPP Pts off TO,OPP 2nd Points,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD
DeMarcus Cousins,NOP,26,55,23,32,34.4,3.8,3.2,1.2,12.1,11.4,8.1,10.9,27.5,1.3,1.6,3.7,8.5
Isaiah Thomas,BOS,28,53,36,17,34.5,3.8,2.1,4.3,10,10.8,10.5,8.8,31.5,0.1,1.5,2.2,6.5
Derrick Rose,NYK,28,48,21,27,32.2,1.8,1.4,2.4,10.3,11.3,10.6,9.5,31.3,0.4,1.5,1.4,2.7
Kemba Walker,CHA,26,55,24,31,34.3,3.1,1.5,2.6,7.7,8.7,8.4,9.3,28,0.3,1.5,1.6,4.4
Damian Lillard,POR,26,51,21,30,35.9,3.7,1.7,2.5,8.2,11.9,8.9,10.4,31.5,0.3,1.4,2.3,5.5
Jerryd Bayless,PHI,28,3,1,2,23.8,0.7,0,3.7,5.3,6,9,9.7,24.7,0,1.3,1.3,2.3
Dennis Schroder,ATL,23,56,32,24,30.9,2.9,1.3,1.4,7.6,11.2,9.4,9.1,26.2,0.1,1.3,1.7,2.8
Elfrid Payton,ORL,23,58,21,37,29.1,1.9,0.8,2.6,7.6,8.5,8.3,7.6,28,0.4,1.3,2.2,2.3
Jabari Parker,MIL,21,51,22,29,33.9,3.1,2.3,3.8,10.5,11.9,9.8,8.6,31.3,0.4,1.3,2.2,3.1
Devin Booker,PHX,20,56,18,38,34.5,4.2,1.7,5,6.6,13.1,9.2,11.8,32,0.3,1.2,3.2,4.2
Andrew Wiggins,MIN,22,57,22,35,37.2,3.1,2.6,2.6,8.7,13.6,9.8,10.3,34.9,0.4,1.2,2.1,4.6
Russell Westbrook,OKC,28,57,32,25,34.6,4.8,3.3,6.6,10.2,12,9,8.3,34.5,0.4,1.2,2.4,6.8
Jeff Teague,IND,28,57,29,28,32.6,2.2,0.8,1.8,6.4,11.6,9.2,7.1,27.8,0.5,1.2,2.1,4.4
DeMar DeRozan,TOR,27,50,30,20,35.5,3.8,1.9,2.8,10.4,10.3,10.1,9.6,32.2,0.2,1.2,1.9,5.4
Karl-Anthony Towns,MIN,21,57,22,35,36.5,3.5,4.6,1.6,13.3,13.3,10.1,10.1,34.1,1.4,1.2,3.1,4.6
Enes Kanter,OKC,24,47,28,19,21.6,1.8,4,1.2,9.8,8,6,5.5,21.8,0.7,1.2,2.2,3.2
